ID,ObsType,ObsDateTime,Latitude,Longitude,Elevation,UTCOffset,LimitingMag,CloudCover,SQMReading,SQMSerial,Constellation,SkyComment,LocationComment,Country
200060,Globe at Night,2010-10-02 18:45:00+00:00,47.369,-68.3267,0.0,180,7,-1,,,Leo,,,Canada
192787,Globe at Night,2010-10-10 11:30:00+00:00,33.2148,-97.1331,199.37,300,4,-1,,,Cygnus,,,United States - Texas
190041,Globe at Night,2010-04-25 01:30:00+00:00,-33.9362,18.8353,126.48,-120,4,-1,18.67,5739,Crux,"Clear cloud 0/10, wind 2/10 SSE, dew 3/10","Suburban, sky glow from Stellenbosch and Cape town plus street lights",South Africa
190039,Globe at Night,2010-04-25 01:00:00+00:00,-33.8511,18.9675,166.58,-120,5,-1,19.21,5739,Crux,"Clear, cloud 0/10, wind 3/10","Rural, wine farm lights visible, sky glow from Paarl and Franschhoek. Moon",South Africa
190032,Globe at Night,2010-05-01 21:30:00+00:00,-32.6755,21.5115,701.19,-120,5,-1,20.14,5739,Crux,"Clear, cloud 0/10, wind 0/10, dew 0/10","Urban, street lighting shielded by trees, tall sodium vapor lights about one km away",South Africa
190031,Globe at Night,2010-04-30 21:50:00+00:00,-32.6755,21.5115,701.19,-120,5,-1,19.99,5739,Crux,"Clear cloud 0/10, w 0/10, dew 0/10","Urban, street lighting shielded by trees, tall sodium vapor lights about one km away",South Africa
188158,Globe at Night,2010-08-09 00:30:00+00:00,-30.4156,23.5634,1126.93,-120,6,-1,21.71,5739,Sagittarius,"Clear, w 2/10 NW, 7.0°C","Rural, Nearest town 40 km",South Africa
188157,Globe at Night,2010-08-08 00:25:00+00:00,-30.4156,23.5634,1126.93,-120,6,-1,21.74,5739,Sagittarius,"Clear, w 3/10 NW, 5.0°C","Rural, Nearest town 40 km",South Africa
188156,Globe at Night,2010-08-07 00:35:00+00:00,-30.4156,23.5634,1126.93,-120,6,-1,21.2,5739,Sagittarius,"Clear, w 3/10 NW, 9.0°C","Rural, 30 km nearest town",South Africa
188134,Globe at Night,2010-06-07 01:30:00+00:00,-33.8811,18.6831,71.02,-120,6,-1,21.13,5739,Scorpius,"Clear, w 2/10 WNW, 12.0°C","Rural, 12 km from nearest town",South Africa
188133,Globe at Night,2010-06-05 22:46:00+00:00,-33.5436,18.8501,142.14,-120,6,-1,21.13,5739,Scorpius,"Clear, w 3/10 WNW, 12.2°C","Rural, 12 km from nearest town",South Africa
188109,Globe at Night,2010-06-11 00:31:00+00:00,-32.4085,20.6588,1464.04,-120,6,-1,21.68,5739,Scorpius,"Clear, w 4/10 WNW, 7.0°C","Rural, 2 km from Sutherland",South Africa
188108,Globe at Night,2010-04-14 23:00:00+00:00,-32.4085,20.6588,1464.04,-120,6,25,21.24,5739,Crux,"Cloud 2/10, w 2/10 SSE, 15.0°C","Rural, 2 km from Sutherland",South Africa
188107,Globe at Night,2010-04-15 01:15:00+00:00,-32.4085,20.6588,1464.04,-120,6,-1,21.73,5739,Crux,"Clear, w 2/10 SSE, 15.0°C","Rural, 2 km from Sutherland",South Africa
188106,Globe at Night,2010-04-08 00:35:00+00:00,-32.4084,20.6596,1463.81,-120,6,-1,21.57,5739,Crux,"Clear, w 1/10 SSW, 16.0°C","Rural, 2 km from Sutherland",South Africa
188105,Globe at Night,2010-04-13 01:45:00+00:00,-32.3796,20.811,1762.82,-120,6,-1,21.69,5739,Crux,"Clear, w 3/10 SE, 16°C","Rural, 25 km from Sutherland",South Africa
188104,Globe at Night,2010-04-14 00:55:00+00:00,-32.3771,20.668,1442.01,-120,6,-1,21.73,5739,Crux,"Clear, w 0/10, 14.0°C","Rural, 3 km from Sutherland",South Africa
188103,Globe at Night,2010-04-10 01:50:00+00:00,-32.3939,20.6614,1460.98,-120,6,-1,20.73,5739,Crux,"Clear, w 0/10, 16.0°C",Urban,South Africa
188102,Globe at Night,2010-04-08 00:00:00+00:00,-32.3974,20.6602,1458.54,-120,5,-1,20.24,5739,Crux,"Clear, w 0/10, 19.0°C",Urban,South Africa
78811,Globe at Night,2010-04-01 16:30:00+00:00,18.3643,-66.0171,78.92,240,4,25,,,Leo,,Urban Area,Puerto Rico
78810,Globe at Night,2010-04-02 18:40:00+00:00,18.3644,-66.0172,80.02,240,3,50,,,Leo,,Urban Area,Puerto Rico
78809,Globe at Night,2010-04-03 16:30:00+00:00,18.3643,-66.0172,80.75,240,4,-1,,,Leo,,Urban Area,Puerto Rico
78808,Globe at Night,2010-04-04 17:15:00+00:00,18.3643,-66.0172,80.75,240,-9999,75,,,Leo,"Ful covered sky because of clouds, it was raining momentarily.",Urban Area,Puerto Rico
78807,Globe at Night,2010-04-06 18:00:00+00:00,18.3644,-66.0172,80.02,240,4,25,,,Leo,,Urban Area,Puerto Rico
78806,Globe at Night,2010-04-05 16:45:00+00:00,18.3643,-66.0171,78.92,240,3,-1,,,Leo,,Urban Area,Puerto Rico
78805,Globe at Night,2010-04-04 17:25:00+00:00,18.3644,-66.0172,80.02,240,2,50,,,Leo,,Urban Area,Puerto Rico
67582,Globe at Night,2010-02-28 12:36:00+00:00,30.0655,-95.3909,34.59,360,3,75,,,Orion,The sky is cloudy . I can see very little stars .,"suburban  no snow , cool weather .my porch light is on and i have   one big pecan tree",United States - Texas
51097,Globe at Night,2010-02-22 04:20:00+00:00,22.3027,73.2043,42.0,-330,3,-1,,,Orion,clear with main road lights around.,urban area with huge buildings around and 3 to 4 street lights .,India
51096,Globe at Night,2010-02-22 04:20:00+00:00,22.3027,73.2043,42.0,-330,3,-1,,,Orion,clear with main road lights around.,urban area with huge buildings around and 3 to 4 street lights .,India
51077,Globe at Night,2010-03-26 17:27:00+00:00,36.1161,-97.1238,271.65,300,0,-1,13.37,,Orion,"clear 54 degrees waning gibbous moon= 76% of moon was illuminated, 2 mile per hour wind","Wilson Chevy, Stillwater OK, edge of parking lot by sign",United States - Oklahoma
51076,Globe at Night,2010-03-24 16:55:00+00:00,36.16,-97.0801,293.26,300,4,-1,18.38,,Orion,"clear 54 degrees waning gibbous moon= 76% of moon was illuminated, 2 mile per hour wind",Stillwater Airport at Stillwater Aircraft Serv.,United States - Oklahoma
51075,Globe at Night,2010-03-24 16:30:00+00:00,35.6276,-97.4602,367.03,300,1,-1,,,Orion,,"Spring Creek Shopping Center: 15th & Bryant, Edmond OK- parking lot lamp post",United States - Oklahoma
51074,Globe at Night,2010-03-24 16:20:00+00:00,36.1062,-97.0992,266.64,300,5,-1,19.1,,Orion,"clear 54 degrees waning gibbous moon= 76% of moon was illuminated, 2 mile per hour wind",Berry Creek Clubhouse,United States - Oklahoma
51073,Globe at Night,2010-03-21 17:30:00+00:00,36.1062,-97.0992,266.64,300,5,-1,19.07,,Orion,"clear 54 degrees waning gibbous moon= 76% of moon was illuminated, 2 mile per hour wind","3203 W. Old Forest Ave., Stillwater OK",United States - Oklahoma
51072,Globe at Night,2010-03-21 17:24:00+00:00,36.1185,-97.0694,268.79,300,4,-1,18.06,,Orion,"clear 54 degrees waning gibbous moon= 76% of moon was illuminated, 2 mile per hour wind","(Stillwater, OK) Apartment near the Strip: Behind Willie's Bar",United States - Oklahoma
51071,Globe at Night,2010-03-21 17:24:00+00:00,36.1143,-97.0572,272.52,300,3,25,,,Orion,A few clouds around,"Stillwater City Hall - 723 South Lewis Street Stillwater, OK 74074",United States - Oklahoma
51069,Globe at Night,2010-03-16 16:00:00+00:00,36.1186,-97.0731,275.78,300,6,-1,,,Orion,"Clear, no moon, hazy and unclear in distance.","Phi Kappa Tau- 1203 W. 3rd Avenue, Stillwater, OK 74074 -Porch light, street light, lawn light",United States - Oklahoma
51068,Globe at Night,2010-03-15 21:37:00+00:00,36.1158,-97.126,273.12,300,1,-1,,,Orion,"Clear, no moon","Stillwater, OK -- 6th Street Wal-Mart parking lot -- very few cars present, HID lamps in lot fixtures",United States - Oklahoma
51067,Globe at Night,2010-03-15 16:30:00+00:00,36.132,-95.9659,223.36,300,2,-1,,,Orion,"Clear, no moon","1822 Utica Sq., Tulsa, Ok 74114 - Street lights, other businesses, security lights",United States - Oklahoma
51066,Globe at Night,2010-03-15 16:28:00+00:00,36.2878,-95.8439,213.03,300,1,-1,,,Orion,"Clear, no moon","Owasso, OK, Hobby Lobby: light from store windows and parking lot lights",United States - Oklahoma
51065,Globe at Night,2010-03-15 07:00:00+00:00,36.1196,-97.0784,275.42,300,3,75,,,Orion,"very little clouds in sky, could see the moon","In front of Patchin/Jones in Stillwater, OK",United States - Oklahoma
51064,Globe at Night,2010-03-15 17:56:00+00:00,23.1217,-82.3605,9.44,240,5,25,,,Orion,,"Atares Hill, Old Havana, Havana",Cuba
51063,Globe at Night,2010-03-15 17:05:00+00:00,23.0447,-82.3208,79.81,240,5,25,,,Orion,some fog,"Parcelacin Moderna, Arroyo Naranjo, Havana (School Desembarco del Gramma)",Cuba
